EZABPQM,Tranche_Debut,Tranche_Fin,Mnémo,Territoire,Date_Attribution
054995,0549950000,0549959999,FRTE,ZNE Parthenay,01/01/2017
054996,0549960000,0549969999,FRTE,ZNE Thouars,01/01/2017
054997,0549970000,0549979999,FRTE,ZNE Civray,01/01/2017
054998,0549980000,0549989999,FRTE,ZNE Loudun,01/01/2017
054999,0549990000,0549999999,FRTE,ZNE Bressuire,01/01/2017
055300,0553000000,0553009999,FRTE,Sud Ouest,01/01/2017
055301,0553010000,0553019999,FRTE,ZNE Villeneuve-sur-Lot,01/01/2017
055302,0553020000,0553029999,FRTE,ZNE Périgueux,01/01/2017
055303,0553030000,0553039999,FRTE,ZNE Périgueux,01/01/2017
055304,0553040000,0553049999,FRTE,ZNE Périgueux,01/01/2017
055305,0553050000,0553059999,FRTE,ZNE Périgueux,01/01/2017
055306,0553060000,0553069999,FRTE,ZNE Périgueux,01/01/2017
055307,0553070000,0553079999,FRTE,ZNE Périgueux,01/01/2017
055308,0553080000,0553089999,FRTE,ZNE Périgueux,01/01/2017
055309,0553090000,0553099999,FRTE,ZNE Périgueux,01/01/2017
055310,0553100000,0553109999,FRTE,Sud Ouest,01/01/2017
055311,0553110000,0553119999,FRTE,Sud Ouest,01/01/2017
055312,0553120000,0553129999,FRTE,Sud Ouest,01/01/2017
055313,0553130000,0553139999,FRTE,ZNE Périgueux,01/01/2017
055314,0553140000,0553149999,FRTE,ZNE Périgueux,01/01/2017
055315,0553150000,0553159999,FRTE,Sud Ouest,01/01/2017
055316,0553160000,0553169999,FRTE,Sud Ouest,01/01/2017
055317,0553170000,0553179999,FRTE,Sud Ouest,01/01/2017
055318,0553180000,0553189999,FRTE,Sud Ouest,01/01/2017
055319,0553190000,0553199999,FRTE,Sud Ouest,01/01/2017
055320,0553200000,0553209999,FRTE,ZNE Marmande,01/01/2017
055321,0553210000,0553219999,FRTE,Sud Ouest,01/01/2017
055322,0553220000,0553229999,FRTE,ZNE Bergerac,01/01/2017
055323,0553230000,0553239999,FRTE,ZNE Bergerac,01/01/2017
055324,0553240000,0553249999,FRTE,ZNE Bergerac,01/01/2017
055325,0553250000,0553259999,FRTE,Sud Ouest,01/01/2017
055326,0553260000,0553269999,FRTE,Sud Ouest,01/01/2017
055327,0553270000,0553279999,FRTE,ZNE Bergerac,01/01/2017
055328,0553280000,0553289999,FRTE,ZNE Sarlat-la-Canéda,01/01/2017
055329,0553290000,0553299999,FRTE,ZNE Sarlat-la-Canéda,01/01/2017
055330,0553300000,0553309999,FRTE,ZNE Sarlat-la-Canéda,01/01/2017
055331,0553310000,0553319999,FRTE,ZNE Sarlat-la-Canéda,01/01/2017
055332,0553320000,0553329999,FRTE,Sud Ouest,01/01/2017
055333,0553330000,0553339999,FRTE,Sud Ouest,01/01/2017
055334,0553340000,0553349999,FRTE,Sud Ouest,01/01/2017
055335,0553350000,0553359999,FRTE,ZNE Périgueux,01/01/2017
055336,0553360000,0553369999,FRTE,ZNE Villeneuve-sur-Lot,01/01/2017
055337,0553370000,0553379999,FRTE,Sud Ouest,01/01/2017
055338,0553380000,0553389999,FRTE,Sud Ouest,01/01/2017
055339,0553390000,0553399999,FRTE,Sud Ouest,01/01/2017
055340,0553400000,0553409999,FRTE,ZNE Villeneuve-sur-Lot,01/01/2017
055341,0553410000,0553419999,FRTE,ZNE Villeneuve-sur-Lot,01/01/2017
055342,0553420000,0553429999,FRTE,ZNE Terrasson-Lavilledieu,01/01/2017
055343,0553430000,0553439999,FRTE,Sud Ouest,01/01/2017
055344,0553440000,0553449999,FRTE,Sud Ouest,01/01/2017
055345,0553450000,0553459999,FRTE,ZNE Périgueux,01/01/2017
055346,0553460000,0553469999,FRTE,ZNE Périgueux,01/01/2017
055347,0553470000,0553479999,FRTE,ZNE Agen,01/01/2017
055348,0553480000,0553489999,FRTE,ZNE Agen,01/01/2017
055349,0553490000,0553499999,FRTE,ZNE Villeneuve-sur-Lot,01/01/2017
055350,0553500000,0553509999,FRTE,ZNE Terrasson-Lavilledieu,01/01/2017
055351,0553510000,0553519999,FRTE,ZNE Terrasson-Lavilledieu,01/01/2017
055352,0553520000,0553529999,FRTE,ZNE Thiviers,01/01/2017
055353,0553530000,0553539999,FRTE,ZNE Périgueux,01/01/2017
055354,0553540000,0553549999,FRTE,ZNE Périgueux,01/01/2017
055355,0553550000,0553559999,FRTE,ZNE Thiviers,01/01/2017
055356,0553560000,0553569999,FRTE,ZNE Nontron,01/01/2017
055357,0553570000,0553579999,FRTE,ZNE Bergerac,01/01/2017
055358,0553580000,0553589999,FRTE,ZNE Bergerac,01/01/2017
055359,0553590000,0553599999,FRTE,ZNE Sarlat-la-Canéda,01/01/2017
055360,0553600000,0553609999,FRTE,ZNE Nontron,01/01/2017
055361,0553610000,0553619999,FRTE,ZNE Bergerac,01/01/2017
055362,0553620000,0553629999,FRTE,ZNE Thiviers,01/01/2017
055363,0553630000,0553639999,FRTE,ZNE Bergerac,01/01/2017
055364,0553640000,0553649999,FRTE,ZNE Marmande,01/01/2017
055365,0553650000,0553659999,FRTE,ZNE Nérac,01/01/2017
055366,0553660000,0553669999,FRTE,ZNE Agen,01/01/2017
055367,0553670000,0553679999,FRTE,ZNE Agen,01/01/2017
055368,0553680000,0553689999,FRTE,ZNE Agen,01/01/2017
