EZABPQM,Tranche_Debut,Tranche_Fin,Mnémo,Territoire,Date_Attribution
0105,0105000000,0105999999,FRTE,Ile de France,01/01/2017
01241,0124100000,0124199999,FRTE,Ile de France,01/01/2017
01242,0124200000,0124299999,FRTE,Ile de France,01/01/2017
013000,0130000000,0130009999,FRTE,Ile de France,01/01/2017
013001,0130010000,0130019999,FRTE,Ile de France,01/01/2017
013002,0130020000,0130029999,FRTE,ZNE Guyancourt,01/01/2017
013003,0130030000,0130039999,FRTE,ZNE Guyancourt,01/01/2017
013004,0130040000,0130049999,FRTE,ZNE Les Mureaux,01/01/2017
013005,0130050000,0130059999,FRTE,ZNE Guyancourt,01/01/2017
013006,0130060000,0130069999,FRTE,ZNE Poissy,01/01/2017
013007,0130070000,0130079999,FRTE,ZNE Guyancourt,01/01/2017
013008,0130080000,0130089999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013009,0130090000,0130099999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013010,0130100000,0130109999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013011,0130110000,0130119999,FRTE,ZNE Sarcelles,01/01/2017
013012,0130120000,0130129999,FRTE,ZNE Guyancourt,01/01/2017
013013,0130130000,0130139999,FRTE,ZNE Guyancourt,01/01/2017
013014,0130140000,0130149999,FRTE,ZNE Guyancourt,01/01/2017
013015,0130150000,0130159999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013016,0130160000,0130169999,FRTE,ZNE Guyancourt,01/01/2017
013017,0130170000,0130179999,FRTE,ZNE Cergy,01/01/2017
013018,0130180000,0130189999,FRTE,ZNE Sarcelles,01/01/2017
013019,0130190000,0130199999,FRTE,ZNE Poissy,01/01/2017
013020,0130200000,0130209999,FRTE,ZNE Cergy,01/01/2017
013021,0130210000,0130219999,FRTE,ZNE Versailles,01/01/2017
013022,0130220000,0130229999,FRTE,ZNE Les Mureaux,01/01/2017
013023,0130230000,0130239999,FRTE,ZNE Guyancourt,01/01/2017
013024,0130240000,0130249999,FRTE,ZNE Versailles,01/01/2017
013025,0130250000,0130259999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013026,0130260000,0130269999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013027,0130270000,0130279999,FRTE,ZNE Cergy,01/01/2017
013028,0130280000,0130289999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013029,0130290000,0130299999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013030,0130300000,0130309999,FRTE,ZNE Cergy,01/01/2017
013031,0130310000,0130319999,FRTE,ZNE Cergy,01/01/2017
013032,0130320000,0130329999,FRTE,ZNE Cergy,01/01/2017
013033,0130330000,0130339999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013034,0130340000,0130349999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013035,0130350000,0130359999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013036,0130360000,0130369999,FRTE,ZNE Cergy,01/01/2017
013037,0130370000,0130379999,FRTE,ZNE Cergy,01/01/2017
013038,0130380000,0130389999,FRTE,ZNE Cergy,01/01/2017
013039,0130390000,0130399999,FRTE,ZNE Cergy,01/01/2017
013040,0130400000,0130409999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013041,0130410000,0130419999,FRTE,ZNE Rambouillet,01/01/2017
013042,0130420000,0130429999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013043,0130430000,0130439999,FRTE,ZNE Guyancourt,01/01/2017
013044,0130440000,0130449999,FRTE,ZNE Guyancourt,01/01/2017
013045,0130450000,0130459999,FRTE,ZNE Guyancourt,01/01/2017
013046,0130460000,0130469999,FRTE,ZNE Rambouillet,01/01/2017
013047,0130470000,0130479999,FRTE,ZNE Guyancourt,01/01/2017
013048,0130480000,0130489999,FRTE,ZNE Guyancourt,01/01/2017
013049,0130490000,0130499999,FRTE,ZNE Guyancourt,01/01/2017
013050,0130500000,0130509999,FRTE,ZNE Guyancourt,01/01/2017
013051,0130510000,0130519999,FRTE,ZNE Guyancourt,01/01/2017
013052,0130520000,0130529999,FRTE,ZNE Guyancourt,01/01/2017
013053,0130530000,0130539999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013054,0130540000,0130549999,FRTE,ZNE Guyancourt,01/01/2017
013055,0130550000,0130559999,FRTE,ZNE Guyancourt,01/01/2017
013056,0130560000,0130569999,FRTE,ZNE Guyancourt,01/01/2017
013057,0130570000,0130579999,FRTE,ZNE Guyancourt,01/01/2017
013058,0130580000,0130589999,FRTE,ZNE Guyancourt,01/01/2017
013059,0130590000,0130599999,FRTE,ZNE Rambouillet,01/01/2017
013060,0130600000,0130609999,FRTE,ZNE Guyancourt,01/01/2017
013061,0130610000,0130619999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013062,0130620000,0130629999,FRTE,ZNE Guyancourt,01/01/2017
013063,0130630000,0130639999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013064,0130640000,0130649999,FRTE,ZNE Guyancourt,01/01/2017
013065,0130650000,0130659999,FRTE,ZNE Poissy,01/01/2017
013066,0130660000,0130669999,FRTE,ZNE Guyancourt,01/01/2017
013067,0130670000,0130679999,FRTE,ZNE Versailles,01/01/2017
013068,0130680000,0130689999,FRTE,ZNE Guyancourt,01/01/2017
013069,0130690000,0130699999,FRTE,ZNE Guyancourt,01/01/2017
013070,0130700000,0130709999,FRTE,ZNE Versailles,01/01/2017
013071,0130710000,0130719999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013072,0130720000,0130729999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013073,0130730000,0130739999,FRTE,ZNE Cergy,01/01/2017
013074,0130740000,0130749999,FRTE,ZNE Poissy,01/01/2017
013075,0130750000,0130759999,FRTE,ZNE Cergy,01/01/2017
013076,0130760000,0130769999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013077,0130770000,0130779999,FRTE,ZNE Versailles,01/01/2017
013078,0130780000,0130789999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013079,0130790000,0130799999,FRTE,ZNE Guyancourt,01/01/2017
013080,0130800000,0130809999,FRTE,ZNE Guyancourt,01/01/2017
013081,0130810000,0130819999,FRTE,ZNE Guyancourt,01/01/2017
013082,0130820000,0130829999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013083,0130830000,0130839999,FRTE,ZNE Versailles,01/01/2017
013084,0130840000,0130849999,FRTE,ZNE Versailles,01/01/2017
013085,0130850000,0130859999,FRTE,ZNE Guyancourt,01/01/2017
013086,0130860000,0130869999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013087,0130870000,0130879999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013088,0130880000,0130889999,FRTE,ZNE Rambouillet,01/01/2017
013089,0130890000,0130899999,FRTE,ZNE Guyancourt,01/01/2017
013090,0130900000,0130909999,FRTE,ZNE Les Mureaux,01/01/2017
013091,0130910000,0130919999,FRTE,ZNE Les Mureaux,01/01/2017
013092,0130920000,0130929999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013093,0130930000,0130939999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013094,0130940000,0130949999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013095,0130950000,0130959999,FRTE,ZNE Les Mureaux,01/01/2017
013096,0130960000,0130969999,FRTE,ZNE Guyancourt,01/01/2017
013097,0130970000,0130979999,FRTE,ZNE Versailles,01/01/2017
013098,0130980000,0130989999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013099,0130990000,0130999999,FRTE,ZNE Les Mureaux,01/01/2017
013400,0134000000,0134009999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013401,0134010000,0134019999,FRTE,ZNE Poissy,01/01/2017
013402,0134020000,0134029999,FRTE,ZNE Cergy,01/01/2017
013403,0134030000,0134039999,FRTE,ZNE Versailles,01/01/2017
013404,0134040000,0134049999,FRTE,ZNE Sarcelles,01/01/2017
013405,0134050000,0134059999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013406,0134060000,0134069999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013407,0134070000,0134079999,FRTE,ZNE Sarcelles,01/01/2017
013408,0134080000,0134089999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013409,0134090000,0134099999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013410,0134100000,0134109999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013411,0134110000,0134119999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013412,0134120000,0134129999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013413,0134130000,0134139999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013414,0134140000,0134149999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013415,0134150000,0134159999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013416,0134160000,0134169999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013417,0134170000,0134179999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013418,0134180000,0134189999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013419,0134190000,0134199999,FRTE,ZNE Sarcelles,01/01/2017
013420,0134200000,0134209999,FRTE,ZNE Cergy,01/01/2017
013421,0134210000,0134219999,FRTE,ZNE Cergy,01/01/2017
013422,0134220000,0134229999,FRTE,ZNE Cergy,01/01/2017
013423,0134230000,0134239999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013424,0134240000,0134249999,FRTE,ZNE Cergy,01/01/2017
013425,0134250000,0134259999,FRTE,ZNE Cergy,01/01/2017
013426,0134260000,0134269999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013427,0134270000,0134279999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013428,0134280000,0134289999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013429,0134290000,0134299999,FRTE,ZNE Sarcelles,01/01/2017
013430,0134300000,0134309999,FRTE,ZNE Cergy,01/01/2017
013431,0134310000,0134319999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013432,0134320000,0134329999,FRTE,ZNE Cergy,01/01/2017
013433,0134330000,0134339999,FRTE,ZNE Cergy,01/01/2017
013434,0134340000,0134349999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013435,0134350000,0134359999,FRTE,ZNE Cergy,01/01/2017
013436,0134360000,0134369999,FRTE,ZNE Cergy,01/01/2017
013437,0134370000,0134379999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013438,0134380000,0134389999,FRTE,ZNE Sarcelles,01/01/2017
013439,0134390000,0134399999,FRTE,ZNE Sarcelles,01/01/2017
013440,0134400000,0134409999,FRTE,ZNE Cergy,01/01/2017
013441,0134410000,0134419999,FRTE,ZNE Cergy,01/01/2017
013442,0134420000,0134429999,FRTE,ZNE Cergy,01/01/2017
013443,0134430000,0134439999,FRTE,ZNE Cergy,01/01/2017
013444,0134440000,0134449999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013445,0134450000,0134459999,FRTE,ZNE Sarcelles,01/01/2017
013446,0134460000,0134469999,FRTE,ZNE Cergy,01/01/2017
013447,0134470000,0134479999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013448,0134480000,0134489999,FRTE,ZNE Cergy,01/01/2017
013449,0134490000,0134499999,FRTE,ZNE Versailles,01/01/2017
013450,0134500000,0134509999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013451,0134510000,0134519999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013452,0134520000,0134529999,FRTE,ZNE Guyancourt,01/01/2017
013453,0134530000,0134539999,FRTE,ZNE Sarcelles,01/01/2017
013454,0134540000,0134549999,FRTE,ZNE Poissy,01/01/2017
013455,0134550000,0134559999,FRTE,Ile de France,01/01/2017
013456,0134560000,0134569999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013457,0134570000,0134579999,FRTE,ZNE Rambouillet,01/01/2017
013458,0134580000,0134589999,FRTE,ZNE Versailles,01/01/2017
013459,0134590000,0134599999,FRTE,ZNE Guyancourt,01/01/2017
013460,0134600000,0134609999,FRTE,ZNE Guyancourt,01/01/2017
013461,0134610000,0134619999,FRTE,ZNE Guyancourt,01/01/2017
013462,0134620000,0134629999,FRTE,ZNE Guyancourt,01/01/2017
013463,0134630000,0134639999,FRTE,ZNE Versailles,01/01/2017
013464,0134640000,0134649999,FRTE,ZNE Cergy,01/01/2017
013465,0134650000,0134659999,FRTE,ZNE Versailles,01/01/2017
013466,0134660000,0134669999,FRTE,ZNE Cergy,01/01/2017
013467,0134670000,0134679999,FRTE,ZNE Cergy,01/01/2017
013468,0134680000,0134689999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013469,0134690000,0134699999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013470,0134700000,0134709999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013471,0134710000,0134719999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013472,0134720000,0134729999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013473,0134730000,0134739999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013474,0134740000,0134749999,FRTE,ZNE Les Mureaux,01/01/2017
013475,0134750000,0134759999,FRTE,ZNE Les Mureaux,01/01/2017
013476,0134760000,0134769999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013477,0134770000,0134779999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013478,0134780000,0134789999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013479,0134790000,0134799999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013480,0134800000,0134809999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013481,0134810000,0134819999,FRTE,ZNE Guyancourt,01/01/2017
013482,0134820000,0134829999,FRTE,ZNE Guyancourt,01/01/2017
013483,0134830000,0134839999,FRTE,ZNE Rambouillet,01/01/2017
013484,0134840000,0134849999,FRTE,ZNE Rambouillet,01/01/2017
013485,0134850000,0134859999,FRTE,ZNE Rambouillet,01/01/2017
013486,0134860000,0134869999,FRTE,ZNE Rambouillet,01/01/2017
013487,0134870000,0134879999,FRTE,ZNE Rambouillet,01/01/2017
013488,0134880000,0134889999,FRTE,ZNE Versailles,01/01/2017
013489,0134890000,0134899999,FRTE,ZNE Guyancourt,01/01/2017
013490,0134900000,0134909999,FRTE,ZNE Poissy,01/01/2017
013491,0134910000,0134919999,FRTE,ZNE Guyancourt,01/01/2017
013492,0134920000,0134929999,FRTE,ZNE Les Mureaux,01/01/2017
013493,0134930000,0134939999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013494,0134940000,0134949999,FRTE,ZNE Rambouillet,01/01/2017
013495,0134950000,0134959999,FRTE,ZNE Guyancourt,01/01/2017
013496,0134960000,0134969999,FRTE,ZNE Guyancourt,01/01/2017
013497,0134970000,0134979999,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013498,0134980000,0134989999,FRTE,ZNE Guyancourt,01/01/2017
013499,0134990000,0134999999,FRTE,Ile de France,01/01/2017
013900,0139000000,0139009999,FRTE,Ile de France,01/01/2017
013901,0139010000,0139019999,FRTE,ZNE Cergy,01/01/2017
013902,0139020000,0139029999,FRTE,ZNE Versailles,01/01/2017
013903,0139030000,0139039999,FRTE,Ile de France,01/01/2017
013904,0139040000,0139049999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013905,0139050000,0139059999,FRTE,Ile de France,01/01/2017
013906,0139060000,0139069999,FRTE,ZNE Les Mureaux,01/01/2017
013907,0139070000,0139079999,FRTE,ZNE Versailles,01/01/2017
013908,0139080000,0139089999,FRTE,ZNE Poissy,01/01/2017
013909,0139090000,0139099999,FRTE,ZNE Cergy,01/01/2017
013910,0139100000,0139109999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013911,0139110000,0139119999,FRTE,ZNE Poissy,01/01/2017
013912,0139120000,0139129999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013913,0139130000,0139139999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013914,0139140000,0139149999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013915,0139150000,0139159999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013916,0139160000,0139169999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013917,0139170000,0139179999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013918,0139180000,0139189999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013919,0139190000,0139199999,FRTE,ZNE Poissy,01/01/2017
013920,0139200000,0139209999,FRTE,ZNE Versailles,01/01/2017
013921,0139210000,0139219999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013922,0139220000,0139229999,FRTE,ZNE Poissy,01/01/2017
013923,0139230000,0139239999,FRTE,ZNE Versailles,01/01/2017
013924,0139240000,0139249999,FRTE,ZNE Versailles,01/01/2017
013925,0139250000,0139259999,FRTE,ZNE Versailles,01/01/2017
013926,0139260000,0139269999,FRTE,ZNE Versailles,01/01/2017
013927,0139270000,0139279999,FRTE,ZNE Poissy,01/01/2017
013928,0139280000,0139289999,FRTE,ZNE Poissy,01/01/2017
013929,0139290000,0139299999,FRTE,ZNE Les Mureaux,01/01/2017
013930,0139300000,0139309999,FRTE,ZNE Guyancourt,01/01/2017
013931,0139310000,0139319999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013932,0139320000,0139329999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013933,0139330000,0139339999,FRTE,ZNE Sarcelles,01/01/2017
013934,0139340000,0139349999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013935,0139350000,0139359999,FRTE,ZNE Sarcelles,01/01/2017
013936,0139360000,0139369999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013937,0139370000,0139379999,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013938,0139380000,0139389999,FRTE,ZNE Guyancourt,01/01/2017
013939,0139390000,0139399999,FRTE,ZNE Versailles,01/01/2017
013940,0139400000,0139409999,FRTE,ZNE Versailles,01/01/2017
013941,0139410000,0139419999,FRTE,ZNE Guyancourt,01/01/2017
013942,0139420000,0139429999,FRTE,ZNE Guyancourt,01/01/2017
013943,0139430000,0139439999,FRTE,ZNE Versailles,01/01/2017
013944,0139440000,0139449999,FRTE,ZNE Guyancourt,01/01/2017
013945,0139450000,0139459999,FRTE,ZNE Versailles,01/01/2017
013946,0139460000,0139469999,FRTE,ZNE Versailles,01/01/2017
013947,0139470000,0139479999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013948,0139480000,0139489999,FRTE,ZNE Guyancourt,01/01/2017
013949,0139490000,0139499999,FRTE,ZNE Versailles,01/01/2017
013950,0139500000,0139509999,FRTE,ZNE Versailles,01/01/2017
013951,0139510000,0139519999,FRTE,ZNE Versailles,01/01/2017
013952,0139520000,0139529999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013953,0139530000,0139539999,FRTE,ZNE Versailles,01/01/2017
013954,0139540000,0139549999,FRTE,ZNE Versailles,01/01/2017
013955,0139550000,0139559999,FRTE,ZNE Versailles,01/01/2017
013956,0139560000,0139569999,FRTE,ZNE Versailles,01/01/2017
013957,0139570000,0139579999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013958,0139580000,0139589999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013959,0139590000,0139599999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013960,0139600000,0139609999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013961,0139610000,0139619999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013962,0139620000,0139629999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013963,0139630000,0139639999,FRTE,ZNE Versailles,01/01/2017
013964,0139640000,0139649999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013965,0139650000,0139659999,FRTE,ZNE Poissy,01/01/2017
013966,0139660000,0139669999,FRTE,ZNE Versailles,01/01/2017
013967,0139670000,0139679999,FRTE,ZNE Versailles,01/01/2017
013968,0139680000,0139689999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013969,0139690000,0139699999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013970,0139700000,0139709999,FRTE,ZNE Poissy,01/01/2017
013971,0139710000,0139719999,FRTE,ZNE Poissy,01/01/2017
013972,0139720000,0139729999,FRTE,ZNE Poissy,01/01/2017
013973,0139730000,0139739999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013974,0139740000,0139749999,FRTE,ZNE Poissy,01/01/2017
013975,0139750000,0139759999,FRTE,ZNE Poissy,01/01/2017
013976,0139760000,0139769999,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013977,0139770000,0139779999,FRTE,ZNE Poissy,01/01/2017
013978,0139780000,0139789999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013979,0139790000,0139799999,FRTE,ZNE Poissy,01/01/2017
013980,0139800000,0139809999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013981,0139810000,0139819999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013982,0139820000,0139829999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013983,0139830000,0139839999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013984,0139840000,0139849999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013985,0139850000,0139859999,FRTE,ZNE Sarcelles,01/01/2017
013986,0139860000,0139869999,FRTE,ZNE Sarcelles,01/01/2017
013987,0139870000,0139879999,FRTE,ZNE Sarcelles,01/01/2017
013988,0139880000,0139889999,FRTE,ZNE Sarcelles,01/01/2017
013989,0139890000,0139899999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013990,0139900000,0139909999,FRTE,ZNE Sarcelles,01/01/2017
013991,0139910000,0139919999,FRTE,ZNE Sarcelles,01/01/2017
013992,0139920000,0139929999,FRTE,ZNE Sarcelles,01/01/2017
013993,0139930000,0139939999,FRTE,ZNE Sarcelles,01/01/2017
013994,0139940000,0139949999,FRTE,ZNE Sarcelles,01/01/2017
013995,0139950000,0139959999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013996,0139960000,0139969999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013997,0139970000,0139979999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013998,0139980000,0139989999,FRTE,ZNE Enghien-les-Bains,01/01/2017
013999,0139990000,0139999999,FRTE,Ile de France,01/01/2017
014000,0140000000,0140009999,FRTE,ZNE Paris,01/01/2017
014001,0140010000,0140019999,FRTE,ZNE Paris,01/01/2017
014002,0140020000,0140029999,FRTE,ZNE Paris,01/01/2017
014003,0140030000,0140039999,FRTE,ZNE Paris,01/01/2017
014004,0140040000,0140049999,FRTE,ZNE Paris,01/01/2017
014005,0140050000,0140059999,FRTE,ZNE Paris,01/01/2017
014006,0140060000,0140069999,FRTE,ZNE Paris,01/01/2017
014007,0140070000,0140079999,FRTE,ZNE Paris,01/01/2017
014008,0140080000,0140089999,FRTE,ZNE Paris,01/01/2017
014009,0140090000,0140099999,FRTE,ZNE Paris,01/01/2017
014010,0140100000,0140109999,FRTE,ZNE Bobigny,01/01/2017
014011,0140110000,0140119999,FRTE,ZNE Bobigny,01/01/2017
014012,0140120000,0140129999,FRTE,ZNE Bobigny,01/01/2017
014013,0140130000,0140139999,FRTE,ZNE Paris,01/01/2017
014014,0140140000,0140149999,FRTE,ZNE Paris,01/01/2017
014015,0140150000,0140159999,FRTE,ZNE Paris,01/01/2017
014016,0140160000,0140169999,FRTE,ZNE Paris,01/01/2017
014017,0140170000,0140179999,FRTE,ZNE Paris,01/01/2017
014018,0140180000,0140189999,FRTE,ZNE Paris,01/01/2017
014019,0140190000,0140199999,FRTE,ZNE Paris,01/01/2017
014020,0140200000,0140209999,FRTE,ZNE Paris,01/01/2017
014021,0140210000,0140219999,FRTE,ZNE Paris,01/01/2017
014022,0140220000,0140229999,FRTE,ZNE Paris,01/01/2017
014023,0140230000,0140239999,FRTE,ZNE Paris,01/01/2017
014024,0140240000,0140249999,FRTE,ZNE Paris,01/01/2017
014025,0140250000,0140259999,FRTE,ZNE Paris,01/01/2017
014026,0140260000,0140269999,FRTE,ZNE Paris,01/01/2017
014027,0140270000,0140279999,FRTE,ZNE Paris,01/01/2017
014028,0140280000,0140289999,FRTE,ZNE Paris,01/01/2017
014029,0140290000,0140299999,FRTE,ZNE Paris,01/01/2017
014030,0140300000,0140309999,FRTE,ZNE Paris,01/01/2017
014031,0140310000,0140319999,FRTE,ZNE Paris,01/01/2017
014032,0140320000,0140329999,FRTE,ZNE Paris,01/01/2017
014033,0140330000,0140339999,FRTE,ZNE Paris,01/01/2017
014034,0140340000,0140349999,FRTE,ZNE Paris,01/01/2017
014035,0140350000,0140359999,FRTE,ZNE Paris,01/01/2017
014036,0140360000,0140369999,FRTE,ZNE Paris,01/01/2017
014037,0140370000,0140379999,FRTE,ZNE Paris,01/01/2017
014038,0140380000,0140389999,FRTE,ZNE Paris,01/01/2017
014039,0140390000,0140399999,FRTE,ZNE Paris,01/01/2017
014040,0140400000,0140409999,FRTE,ZNE Paris,01/01/2017
014041,0140410000,0140419999,FRTE,ZNE Paris,01/01/2017
014042,0140420000,0140429999,FRTE,ZNE Paris,01/01/2017
014043,0140430000,0140439999,FRTE,ZNE Paris,01/01/2017
014044,0140440000,0140449999,FRTE,ZNE Paris,01/01/2017
014045,0140450000,0140459999,FRTE,ZNE Paris,01/01/2017
014046,0140460000,0140469999,FRTE,ZNE Paris,01/01/2017
014047,0140470000,0140479999,FRTE,ZNE Paris,01/01/2017
014048,0140480000,0140489999,FRTE,ZNE Paris,01/01/2017
014049,0140490000,0140499999,FRTE,ZNE Paris,01/01/2017
014050,0140500000,0140509999,FRTE,ZNE Paris,01/01/2017
014051,0140510000,0140519999,FRTE,ZNE Paris,01/01/2017
014052,0140520000,0140529999,FRTE,ZNE Paris,01/01/2017
014053,0140530000,0140539999,FRTE,ZNE Paris,01/01/2017
014054,0140540000,0140549999,FRTE,ZNE Paris,01/01/2017
014055,0140550000,0140559999,FRTE,ZNE Paris,01/01/2017
014056,0140560000,0140569999,FRTE,ZNE Paris,01/01/2017
014057,0140570000,0140579999,FRTE,ZNE Paris,01/01/2017
014058,0140580000,0140589999,FRTE,ZNE Paris,01/01/2017
014059,0140590000,0140599999,FRTE,ZNE Paris,01/01/2017
014060,0140600000,0140609999,FRTE,ZNE Paris,01/01/2017
014061,0140610000,0140619999,FRTE,ZNE Paris,01/01/2017
014062,0140620000,0140629999,FRTE,ZNE Paris,01/01/2017
014063,0140630000,0140639999,FRTE,ZNE Paris,01/01/2017
014064,0140640000,0140649999,FRTE,ZNE Paris,01/01/2017
014065,0140650000,0140659999,FRTE,ZNE Paris,01/01/2017
014066,0140660000,0140669999,FRTE,ZNE Paris,01/01/2017
014067,0140670000,0140679999,FRTE,ZNE Paris,01/01/2017
014068,0140680000,0140689999,FRTE,ZNE Paris,01/01/2017
014069,0140690000,0140699999,FRTE,ZNE Paris,01/01/2017
014070,0140700000,0140709999,FRTE,ZNE Paris,01/01/2017
014071,0140710000,0140719999,FRTE,ZNE Paris,01/01/2017
014072,0140720000,0140729999,FRTE,ZNE Paris,01/01/2017
014073,0140730000,0140739999,FRTE,ZNE Paris,01/01/2017
014074,0140740000,0140749999,FRTE,ZNE Paris,01/01/2017
014075,0140750000,0140759999,FRTE,ZNE Paris,01/01/2017
014076,0140760000,0140769999,FRTE,ZNE Paris,01/01/2017
014077,0140770000,0140779999,FRTE,ZNE Paris,01/01/2017
014078,0140780000,0140789999,FRTE,ZNE Paris,01/01/2017
014079,0140790000,0140799999,FRTE,ZNE Paris,01/01/2017
014080,0140800000,0140809999,FRTE,ZNE Nanterre,01/01/2017
014081,0140810000,0140819999,FRTE,ZNE Nanterre,01/01/2017
